stock_code,corp_name,market,corp_code,modify_date
094480,갤럭시아머니트리,KOSDAQ,00587457,20230102
094800,맵스리얼티1,KOSPI,00600013,20190405
094820,일진파워,KOSDAQ,00485177,20230214
094840,슈프리마에이치큐,KOSDAQ,00599957,20221206
094850,참좋은여행,KOSDAQ,00606770,20230220
094860,네오리진,KOSDAQ,00599106,20221202
094940,푸른기술,KOSDAQ,00537832,20221130
094970,제이엠티,KOSDAQ,00533508,20221206
095190,이엠코리아,KOSDAQ,00526951,20230502
095270,웨이브일렉트로,KOSDAQ,00526696,20221223
095340,ISC,KOSDAQ,00572905,20231005
095500,미래나노텍,KOSDAQ,00526836,20230222
095570,AJ네트웍스,KOSPI,00365387,20230330
095610,테스,KOSDAQ,00524421,20220225
095660,네오위즈,KOSDAQ,00628860,20230222
095700,제넥신,KOSDAQ,00545929,20231013
095720,웅진씽크빅,KOSPI,00628189,20230109
095910,에스에너지,KOSDAQ,00585538,20221206
096040,이트론,KOSDAQ,00480756,20230817
096240,크레버스,KOSDAQ,00525882,20230703
096350,대창솔루션,KOSDAQ,00177870,20221227
096530,씨젠,KOSDAQ,00788773,20230414
096610,알에프세미,KOSDAQ,00516246,20231013
096630,에스코넥,KOSDAQ,00573269,20221212
096690,에이루트,KOSDAQ,00608839,20221201
096760,JW홀딩스,KOSPI,00632304,20230512
096770,SK이노베이션,KOSPI,00631518,20230203
096870,엘디티,KOSDAQ,00540571,20221201
097230,HJ중공업,KOSPI,00633835,20221226
097520,엠씨넥스,KOSPI,00564562,20230227
097780,에코볼트,KOSDAQ,00562360,20230822
097800,윈팩,KOSDAQ,00536286,20220224
097870,효성오앤비,KOSDAQ,00367385,20220812
097950,CJ제일제당,KOSPI,00635134,20230103
098120,마이크로컨텍솔,KOSDAQ,00568188,20230223
098460,고영,KOSDAQ,00579999,20221206
098660,에스티오,KOSDAQ,00612188,20221129
099190,아이센스,KOSDAQ,00550994,20230223
099220,SDN,KOSDAQ,00574611,20230220
099320,쎄트렉아이,KOSDAQ,00449254,20221207
099390,브레인즈컴퍼니,KOSDAQ,00642897,20230224
099410,동방선기,KOSDAQ,00526678,20230330
099430,바이오플러스,KOSDAQ,00636656,20230215
099440,스맥,KOSDAQ,00580056,20230428
099520,ITX-AI,KOSDAQ,00627029,20230502
099750,이지케어텍,KOSDAQ,00490090,20220920
100030,인지소프트,KOSDAQ,00641171,20221213
100090,SK오션플랜트,KOSPI,00480367,20230419
100120,뷰웍스,KOSDAQ,00609324,20220228
100130,동국S&C,KOSDAQ,00415594,20230223
100220,비상교육,KOSPI,00520887,20221201
